"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","choice"
"true","false","[]","[]","[]","preload","0","247","0.0-0.0","13C2E6D9E7A143B8B960A930322C9C2B","0199ad14-365e-76a6-8b8a-fa7cce8558ae","0199acf4-d136-78a0-864c-108c630c63d5","","","","",""
"","","","","","instructions","1","5510","0.0-1.0","13C2E6D9E7A143B8B960A930322C9C2B","0199ad14-365e-76a6-8b8a-fa7cce8558ae","0199acf4-d136-78a0-864c-108c630c63d5","[{""page_index"":0,""viewing_time"":5264}]","5264","","",""
"","","","","","instructions","2","8792","0.0-2.0","13C2E6D9E7A143B8B960A930322C9C2B","0199ad14-365e-76a6-8b8a-fa7cce8558ae","0199acf4-d136-78a0-864c-108c630c63d5","[{""page_index"":0,""viewing_time"":3281}]","3281","","",""
"true","","","","","fullscreen","3","11861","0.0-3.0","13C2E6D9E7A143B8B960A930322C9C2B","0199ad14-365e-76a6-8b8a-fa7cce8558ae","0199acf4-d136-78a0-864c-108c630c63d5","","2054","","",""
"","","","","","instructions","4","41144","0.0-4.0","13C2E6D9E7A143B8B960A930322C9C2B","0199ad14-365e-76a6-8b8a-fa7cce8558ae","0199acf4-d136-78a0-864c-108c630c63d5","[{""page_index"":0,""viewing_time"":29282}]","29282","","",""
"","","","","","html-keyboard-response","5","48155","0.0-5.0","13C2E6D9E7A143B8B960A930322C9C2B","0199ad14-365e-76a6-8b8a-fa7cce8558ae","0199acf4-d136-78a0-864c-108c630c63d5","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_7/causal_series_7_a.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null",""
"","","","","","html-keyboard-response","6","55163","0.0-6.0","13C2E6D9E7A143B8B960A930322C9C2B","0199ad14-365e-76a6-8b8a-fa7cce8558ae","0199acf4-d136-78a0-864c-108c630c63d5","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_7/causal_series_7_b.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null",""
"","","","","","html-keyboard-response","7","62178","0.0-7.0","13C2E6D9E7A143B8B960A930322C9C2B","0199ad14-365e-76a6-8b8a-fa7cce8558ae","0199acf4-d136-78a0-864c-108c630c63d5","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_7/causal_series_7_c.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null",""
"","","","","","html-button-response","8","66384","0.0-8.0","13C2E6D9E7A143B8B960A930322C9C2B","0199ad14-365e-76a6-8b8a-fa7cce8558ae","0199acf4-d136-78a0-864c-108c630c63d5","","4205","
        <div style=""display: flex; justify-content: center; align-items: center;"">
          <img src=""images/red_deck_2.png"" style=""width: 300px; height: 300px; margin-right: 10px;"" />
          <img src=""images/blue_deck_1.png"" style=""width: 300px; height: 300px;"" />
        </div>","0","0"
"","","","","","html-keyboard-response","9","73388","0.0-9.0-0.0-0.0","13C2E6D9E7A143B8B960A930322C9C2B","0199ad14-365e-76a6-8b8a-fa7cce8558ae","0199acf4-d136-78a0-864c-108c630c63d5","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_7/causal_series_7_d.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null",""
