"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","choice"
"true","false","[]","[]","[]","preload","0","1313","0.0-0.0","AA5C51B05B1C402CA44FA3781CBDB2C6","0199b048-727a-7de2-875d-5b15c74ffc2f","0199b046-8dbe-72ff-97c2-b3cf5c366c31","","","","",""
"","","","","","instructions","1","7336","0.0-1.0","AA5C51B05B1C402CA44FA3781CBDB2C6","0199b048-727a-7de2-875d-5b15c74ffc2f","0199b046-8dbe-72ff-97c2-b3cf5c366c31","[{""page_index"":0,""viewing_time"":6021}]","6021","","",""
"","","","","","instructions","2","17283","0.0-2.0","AA5C51B05B1C402CA44FA3781CBDB2C6","0199b048-727a-7de2-875d-5b15c74ffc2f","0199b046-8dbe-72ff-97c2-b3cf5c366c31","[{""page_index"":0,""viewing_time"":9946}]","9947","","",""
"true","","","","","fullscreen","3","22824","0.0-3.0","AA5C51B05B1C402CA44FA3781CBDB2C6","0199b048-727a-7de2-875d-5b15c74ffc2f","0199b046-8dbe-72ff-97c2-b3cf5c366c31","","4534","","",""
"","","","","","instructions","4","33971","0.0-4.0","AA5C51B05B1C402CA44FA3781CBDB2C6","0199b048-727a-7de2-875d-5b15c74ffc2f","0199b046-8dbe-72ff-97c2-b3cf5c366c31","[{""page_index"":0,""viewing_time"":11147}]","11147","","",""
"","","","","","html-keyboard-response","5","40976","0.0-5.0","AA5C51B05B1C402CA44FA3781CBDB2C6","0199b048-727a-7de2-875d-5b15c74ffc2f","0199b046-8dbe-72ff-97c2-b3cf5c366c31","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_4/causal_series_4_a.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null",""
"","","","","","html-button-response","6","44412","0.0-6.0","AA5C51B05B1C402CA44FA3781CBDB2C6","0199b048-727a-7de2-875d-5b15c74ffc2f","0199b046-8dbe-72ff-97c2-b3cf5c366c31","","3433","
        <div style=""display: flex; justify-content: center; align-items: center;"">
          <img src=""images/red_deck_2.png"" style=""width: 300px; height: 300px; margin-right: 10px;"" />
          <img src=""images/blue_deck_1.png"" style=""width: 300px; height: 300px;"" />
        </div>","1","1"
"","","","","","html-keyboard-response","7","51423","0.0-7.0-1.0-0.0","AA5C51B05B1C402CA44FA3781CBDB2C6","0199b048-727a-7de2-875d-5b15c74ffc2f","0199b046-8dbe-72ff-97c2-b3cf5c366c31","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/semantic/semantic_series_4/semantic_series_4_b.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null",""
"","","","","","html-keyboard-response","8","58439","0.0-7.0-1.0-1.0","AA5C51B05B1C402CA44FA3781CBDB2C6","0199b048-727a-7de2-875d-5b15c74ffc2f","0199b046-8dbe-72ff-97c2-b3cf5c366c31","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/semantic/semantic_series_4/semantic_series_4_c.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null",""
"","","","","","html-keyboard-response","9","65442","0.0-7.0-1.0-2.0","AA5C51B05B1C402CA44FA3781CBDB2C6","0199b048-727a-7de2-875d-5b15c74ffc2f","0199b046-8dbe-72ff-97c2-b3cf5c366c31","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/semantic/semantic_series_4/semantic_series_4_d.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null",""
"","","","","","html-keyboard-response","10","72451","0.0-8.0","AA5C51B05B1C402CA44FA3781CBDB2C6","0199b048-727a-7de2-875d-5b15c74ffc2f","0199b046-8dbe-72ff-97c2-b3cf5c366c31","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/other/blank.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null",""
"","","","","","html-keyboard-response","11","79467","0.0-9.0","AA5C51B05B1C402CA44FA3781CBDB2C6","0199b048-727a-7de2-875d-5b15c74ffc2f","0199b046-8dbe-72ff-97c2-b3cf5c366c31","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_2/causal_series_2_a.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null",""
