"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","series","repetition","phase","choice","question_order"
"true","false","[]","[]","[]","preload","0","496","0.0-0.0","7B455B9CF1E245439F592B564E34F8F5","0199d6e4-1075-7451-b884-152746c35270","0199d6c6-52b5-75b7-8a11-3e0d2849423a","","","","","","","","",""
"","","","","","instructions","1","8619","0.0-1.0","7B455B9CF1E245439F592B564E34F8F5","0199d6e4-1075-7451-b884-152746c35270","0199d6c6-52b5-75b7-8a11-3e0d2849423a","[{""page_index"":0,""viewing_time"":8120}]","8121","","","","","","",""
"","","","","","instructions","2","11542","0.0-2.0","7B455B9CF1E245439F592B564E34F8F5","0199d6e4-1075-7451-b884-152746c35270","0199d6c6-52b5-75b7-8a11-3e0d2849423a","[{""page_index"":0,""viewing_time"":2921}]","2921","","","","","","",""
"true","","","","","fullscreen","3","13865","0.0-3.0","7B455B9CF1E245439F592B564E34F8F5","0199d6e4-1075-7451-b884-152746c35270","0199d6c6-52b5-75b7-8a11-3e0d2849423a","","1319","","","","","","",""
"","","","","","instructions","4","26823","0.0-4.0","7B455B9CF1E245439F592B564E34F8F5","0199d6e4-1075-7451-b884-152746c35270","0199d6c6-52b5-75b7-8a11-3e0d2849423a","[{""page_index"":0,""viewing_time"":12956}]","12956","","","","","","",""
"","","","","","html-keyboard-response","5","32834","0.0-5.0","7B455B9CF1E245439F592B564E34F8F5","0199d6e4-1075-7451-b884-152746c35270","0199d6c6-52b5-75b7-8a11-3e0d2849423a","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_3/causal_series_3_a.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","3","1","A","",""
"","","","","","html-keyboard-response","6","38847","0.0-6.0","7B455B9CF1E245439F592B564E34F8F5","0199d6e4-1075-7451-b884-152746c35270","0199d6c6-52b5-75b7-8a11-3e0d2849423a","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_3/causal_series_3_b.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","3","1","B","",""
"","","","","","html-keyboard-response","7","44864","0.0-7.0","7B455B9CF1E245439F592B564E34F8F5","0199d6e4-1075-7451-b884-152746c35270","0199d6c6-52b5-75b7-8a11-3e0d2849423a","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_3/causal_series_3_c.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","3","1","C","",""
"","","","","","html-button-response","8","48100","0.0-8.0","7B455B9CF1E245439F592B564E34F8F5","0199d6e4-1075-7451-b884-152746c35270","0199d6c6-52b5-75b7-8a11-3e0d2849423a","","3232","
        <div style=""display: flex; justify-content: center; align-items: center;"">
          <img src=""images/red_deck_2.png"" style=""width: 300px; height: 300px; margin-right: 10px;"" />
          <img src=""images/blue_deck_1.png"" style=""width: 300px; height: 300px;"" />
        </div>","0","3","1","choice","0",""
"","","","","","html-keyboard-response","9","54107","0.0-9.0-0.0-0.0","7B455B9CF1E245439F592B564E34F8F5","0199d6e4-1075-7451-b884-152746c35270","0199d6c6-52b5-75b7-8a11-3e0d2849423a","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_3/causal_series_3_d.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","3","1","D","",""
"","","","","","survey-likert","10","59184","0.0-10.0","7B455B9CF1E245439F592B564E34F8F5","0199d6e4-1075-7451-b884-152746c35270","0199d6c6-52b5-75b7-8a11-3e0d2849423a","","5070","","{""Q0"":4}","3","1","surprise_rating","","[0]"
"","","","","","survey-likert","11","62556","0.0-11.0","7B455B9CF1E245439F592B564E34F8F5","0199d6e4-1075-7451-b884-152746c35270","0199d6c6-52b5-75b7-8a11-3e0d2849423a","","3368","","{""Q0"":3}","3","1","enjoyment_rating","","[0]"
"","","","","","html-keyboard-response","12","68562","0.0-12.0","7B455B9CF1E245439F592B564E34F8F5","0199d6e4-1075-7451-b884-152746c35270","0199d6c6-52b5-75b7-8a11-3e0d2849423a","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/other/blank.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","0","0","blank","",""
"","","","","","html-keyboard-response","13","74568","0.0-13.0","7B455B9CF1E245439F592B564E34F8F5","0199d6e4-1075-7451-b884-152746c35270","0199d6c6-52b5-75b7-8a11-3e0d2849423a","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_7/causal_series_7_a.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","7","1","A","",""
