"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","phase","choice","question_order"
"true","false","[]","[]","[]","preload","0","1028","0.0-0.0","B352FC63872444C6A4A7FD19353A1427","019a50d5-9d48-7d49-a746-f0147b146599","019a50cf-ba5d-7779-b88c-2ff4a321cee9","","","","","","",""
"","","","","","instructions","1","44043","0.0-1.0","B352FC63872444C6A4A7FD19353A1427","019a50d5-9d48-7d49-a746-f0147b146599","019a50cf-ba5d-7779-b88c-2ff4a321cee9","[{""page_index"":0,""viewing_time"":43014}]","43014","","","","",""
"","","","","","instructions","2","225119","0.0-2.0","B352FC63872444C6A4A7FD19353A1427","019a50d5-9d48-7d49-a746-f0147b146599","019a50cf-ba5d-7779-b88c-2ff4a321cee9","[{""page_index"":0,""viewing_time"":181077}]","181077","","","","",""
"true","","","","","fullscreen","3","235704","0.0-3.0","B352FC63872444C6A4A7FD19353A1427","019a50d5-9d48-7d49-a746-f0147b146599","019a50cf-ba5d-7779-b88c-2ff4a321cee9","","9584","","","","",""
"","","","","","instructions","4","570030","0.0-4.0","B352FC63872444C6A4A7FD19353A1427","019a50d5-9d48-7d49-a746-f0147b146599","019a50cf-ba5d-7779-b88c-2ff4a321cee9","[{""page_index"":0,""viewing_time"":334326}]","334326","","","","",""
"","","","","","html-button-response","5","571401","0.0-5.0-0.0","B352FC63872444C6A4A7FD19353A1427","019a50d5-9d48-7d49-a746-f0147b146599","019a50cf-ba5d-7779-b88c-2ff4a321cee9","","1369","
        <div style=""display: flex; justify-content: center; align-items: center;"">
          <img src=""images/red_deck_2.png"" style=""width: 300px; height: 300px; margin-right: 10px;"" />
          <img src=""images/blue_deck_1.png"" style=""width: 300px; height: 300px;"" />
        </div>","1","deck_choice","1",""
"","","","","","html-keyboard-response","6","583410","0.0-5.0-1.0-1.0-0.0","B352FC63872444C6A4A7FD19353A1427","019a50d5-9d48-7d49-a746-f0147b146599","019a50cf-ba5d-7779-b88c-2ff4a321cee9","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/semantic/semantic_series_7/semantic_series_7_a.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","semantic_a","",""
"","","","","","survey-likert","7","591259","0.0-5.0-2.0","B352FC63872444C6A4A7FD19353A1427","019a50d5-9d48-7d49-a746-f0147b146599","019a50cf-ba5d-7779-b88c-2ff4a321cee9","","7848","","{""Q0"":3}","surprise_rating","","[0]"
"","","","","","survey-likert","8","594301","0.0-5.0-3.0","B352FC63872444C6A4A7FD19353A1427","019a50d5-9d48-7d49-a746-f0147b146599","019a50cf-ba5d-7779-b88c-2ff4a321cee9","","3042","","{""Q0"":3}","enjoyment_rating","","[0]"
"","","","","","html-button-response","9","595733","0.0-6.0-0.0","B352FC63872444C6A4A7FD19353A1427","019a50d5-9d48-7d49-a746-f0147b146599","019a50cf-ba5d-7779-b88c-2ff4a321cee9","","1431","
        <div style=""display: flex; justify-content: center; align-items: center;"">
          <img src=""images/red_deck_2.png"" style=""width: 300px; height: 300px; margin-right: 10px;"" />
          <img src=""images/blue_deck_1.png"" style=""width: 300px; height: 300px;"" />
        </div>","0","deck_choice","0",""
"","","","","","html-keyboard-response","10","601735","0.0-6.0-1.0-0.0-0.0","B352FC63872444C6A4A7FD19353A1427","019a50d5-9d48-7d49-a746-f0147b146599","019a50cf-ba5d-7779-b88c-2ff4a321cee9","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_2/causal_series_2_a.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","causal_a","",""
"","","","","","html-keyboard-response","11","607751","0.0-6.0-1.0-0.0-1.0","B352FC63872444C6A4A7FD19353A1427","019a50d5-9d48-7d49-a746-f0147b146599","019a50cf-ba5d-7779-b88c-2ff4a321cee9","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_2/causal_series_2_b.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","causal_b","",""
"","","","","","survey-likert","12","613506","0.0-6.0-2.0","B352FC63872444C6A4A7FD19353A1427","019a50d5-9d48-7d49-a746-f0147b146599","019a50cf-ba5d-7779-b88c-2ff4a321cee9","","5755","","{""Q0"":2}","surprise_rating","","[0]"
"","","","","","survey-likert","13","615836","0.0-6.0-3.0","B352FC63872444C6A4A7FD19353A1427","019a50d5-9d48-7d49-a746-f0147b146599","019a50cf-ba5d-7779-b88c-2ff4a321cee9","","2329","","{""Q0"":2}","enjoyment_rating","","[0]"
"","","","","","html-button-response","14","616648","0.0-7.0-0.0","B352FC63872444C6A4A7FD19353A1427","019a50d5-9d48-7d49-a746-f0147b146599","019a50cf-ba5d-7779-b88c-2ff4a321cee9","","812","
        <div style=""display: flex; justify-content: center; align-items: center;"">
          <img src=""images/red_deck_2.png"" style=""width: 300px; height: 300px; margin-right: 10px;"" />
          <img src=""images/blue_deck_1.png"" style=""width: 300px; height: 300px;"" />
        </div>","1","deck_choice","1",""
"","","","","","html-keyboard-response","15","628654","0.0-7.0-1.0-1.0-0.0","B352FC63872444C6A4A7FD19353A1427","019a50d5-9d48-7d49-a746-f0147b146599","019a50cf-ba5d-7779-b88c-2ff4a321cee9","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/semantic/semantic_series_3/semantic_series_3_a.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","semantic_a","",""
