"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","phase","choice","question_order"
"true","false","[]","[]","[]","preload","0","83","0.0-0.0","171DEC1860E7498A962991D13A17DE21","019a5270-9263-79cb-bb8a-5f88db5f6698","019a524e-1850-7fa4-8556-8a611a5fd0c9","","","","","","",""
"","","","","","instructions","1","85304","0.0-1.0","171DEC1860E7498A962991D13A17DE21","019a5270-9263-79cb-bb8a-5f88db5f6698","019a524e-1850-7fa4-8556-8a611a5fd0c9","[{""page_index"":0,""viewing_time"":85224}]","85224","","","","",""
"","","","","","instructions","2","87522","0.0-2.0","171DEC1860E7498A962991D13A17DE21","019a5270-9263-79cb-bb8a-5f88db5f6698","019a524e-1850-7fa4-8556-8a611a5fd0c9","[{""page_index"":0,""viewing_time"":2217}]","2217","","","","",""
"true","","","","","fullscreen","3","90522","0.0-3.0","171DEC1860E7498A962991D13A17DE21","019a5270-9263-79cb-bb8a-5f88db5f6698","019a524e-1850-7fa4-8556-8a611a5fd0c9","","1988","","","","",""
"","","","","","instructions","4","147533","0.0-4.0","171DEC1860E7498A962991D13A17DE21","019a5270-9263-79cb-bb8a-5f88db5f6698","019a524e-1850-7fa4-8556-8a611a5fd0c9","[{""page_index"":0,""viewing_time"":57014}]","57014","","","","",""
"","","","","","html-keyboard-response","5","154536","0.0-5.0-0.0","171DEC1860E7498A962991D13A17DE21","019a5270-9263-79cb-bb8a-5f88db5f6698","019a524e-1850-7fa4-8556-8a611a5fd0c9","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_2/causal_series_2_a.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","causal_a","",""
"","","","","","html-button-response","6","159391","0.0-5.0-1.0","171DEC1860E7498A962991D13A17DE21","019a5270-9263-79cb-bb8a-5f88db5f6698","019a524e-1850-7fa4-8556-8a611a5fd0c9","","4855","
        <div style=""display: flex; justify-content: center; align-items: center;"">
          <img src=""images/blue_deck_1.png"" style=""width: 300px; height: 300px; margin-right: 10px;"" />
          <img src=""images/red_deck_2.png"" style=""width: 300px; height: 300px;"" />
        </div>","0","deck_choice","0",""
"","","","","","html-keyboard-response","7","165398","0.0-5.0-2.0-1.0-0.0","171DEC1860E7498A962991D13A17DE21","019a5270-9263-79cb-bb8a-5f88db5f6698","019a524e-1850-7fa4-8556-8a611a5fd0c9","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_1/causal_series_1_c.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","causal_1_c","",""
"","","","","","html-keyboard-response","8","171403","0.0-5.0-2.0-1.0-1.0","171DEC1860E7498A962991D13A17DE21","019a5270-9263-79cb-bb8a-5f88db5f6698","019a524e-1850-7fa4-8556-8a611a5fd0c9","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_9/causal_series_9_b.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","causal_9_b","",""
"","","","","","survey-likert","9","177052","0.0-5.0-3.0","171DEC1860E7498A962991D13A17DE21","019a5270-9263-79cb-bb8a-5f88db5f6698","019a524e-1850-7fa4-8556-8a611a5fd0c9","","5648","","{""Q0"":0}","surprise_rating","","[0]"
"","","","","","survey-likert","10","179476","0.0-5.0-4.0","171DEC1860E7498A962991D13A17DE21","019a5270-9263-79cb-bb8a-5f88db5f6698","019a524e-1850-7fa4-8556-8a611a5fd0c9","","2423","","{""Q0"":2}","enjoyment_rating","","[0]"
"","","","","","html-keyboard-response","11","186477","0.0-6.0-0.0","171DEC1860E7498A962991D13A17DE21","019a5270-9263-79cb-bb8a-5f88db5f6698","019a524e-1850-7fa4-8556-8a611a5fd0c9","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_3/causal_series_3_a.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","causal_a","",""
"","","","","","html-button-response","12","187995","0.0-6.0-1.0","171DEC1860E7498A962991D13A17DE21","019a5270-9263-79cb-bb8a-5f88db5f6698","019a524e-1850-7fa4-8556-8a611a5fd0c9","","1517","
        <div style=""display: flex; justify-content: center; align-items: center;"">
          <img src=""images/blue_deck_1.png"" style=""width: 300px; height: 300px; margin-right: 10px;"" />
          <img src=""images/red_deck_2.png"" style=""width: 300px; height: 300px;"" />
        </div>","1","deck_choice","1",""
"","","","","","html-keyboard-response","13","194996","0.0-6.0-2.0-0.0-0.0","171DEC1860E7498A962991D13A17DE21","019a5270-9263-79cb-bb8a-5f88db5f6698","019a524e-1850-7fa4-8556-8a611a5fd0c9","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_3/causal_series_3_b.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","causal_b","",""
"","","","","","html-keyboard-response","14","201997","0.0-6.0-2.0-0.0-1.0","171DEC1860E7498A962991D13A17DE21","019a5270-9263-79cb-bb8a-5f88db5f6698","019a524e-1850-7fa4-8556-8a611a5fd0c9","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_3/causal_series_3_c.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","causal_c","",""
"","","","","","survey-likert","15","204606","0.0-6.0-3.0","171DEC1860E7498A962991D13A17DE21","019a5270-9263-79cb-bb8a-5f88db5f6698","019a524e-1850-7fa4-8556-8a611a5fd0c9","","2608","","{""Q0"":0}","surprise_rating","","[0]"
"","","","","","survey-likert","16","208337","0.0-6.0-4.0","171DEC1860E7498A962991D13A17DE21","019a5270-9263-79cb-bb8a-5f88db5f6698","019a524e-1850-7fa4-8556-8a611a5fd0c9","","3731","","{""Q0"":2}","enjoyment_rating","","[0]"
"","","","","","html-keyboard-response","17","215338","0.0-7.0-0.0","171DEC1860E7498A962991D13A17DE21","019a5270-9263-79cb-bb8a-5f88db5f6698","019a524e-1850-7fa4-8556-8a611a5fd0c9","","null","<div style=""display: flex; justify-content: center; align-items: center;"">
                     <img src=""images/causal/causal_series_5/causal_series_5_a.png"" style=""width: 300px; height: 300px;"" />
                   </div>","null","causal_a","",""
