"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","offered_color","view_cost","view_history","rt","stimulus","response","phase","decision","question_order"
"true","false","[]","[]","[]","preload","0","524","0.0-0.0","1B815F63C2E0475FA596379151F2E67E","019a565b-433b-7057-b0a1-c00e0c4daf5d","019a564d-4154-7b75-b37e-6d07e11185d1","red","5","","","","","","",""
"","","","","","instructions","1","7817","0.0-1.0","1B815F63C2E0475FA596379151F2E67E","019a565b-433b-7057-b0a1-c00e0c4daf5d","019a564d-4154-7b75-b37e-6d07e11185d1","red","5","[{""page_index"":0,""viewing_time"":7290}]","7290","","","","",""
"","","","","","instructions","2","13383","0.0-2.0","1B815F63C2E0475FA596379151F2E67E","019a565b-433b-7057-b0a1-c00e0c4daf5d","019a564d-4154-7b75-b37e-6d07e11185d1","red","5","[{""page_index"":0,""viewing_time"":5565}]","5565","","","","",""
"true","","","","","fullscreen","3","16784","0.0-3.0","1B815F63C2E0475FA596379151F2E67E","019a565b-433b-7057-b0a1-c00e0c4daf5d","019a564d-4154-7b75-b37e-6d07e11185d1","red","5","","2390","","","","",""
"","","","","","instructions","4","55605","0.0-4.0","1B815F63C2E0475FA596379151F2E67E","019a565b-433b-7057-b0a1-c00e0c4daf5d","019a564d-4154-7b75-b37e-6d07e11185d1","red","5","[{""page_index"":0,""viewing_time"":38819}]","38820","","","","",""
"","","","","","html-keyboard-response","5","61615","0.0-5.0-0.0","1B815F63C2E0475FA596379151F2E67E","019a565b-433b-7057-b0a1-c00e0c4daf5d","019a564d-4154-7b75-b37e-6d07e11185d1","red","5","","null","<div style=""display:flex;justify-content:center;align-items:center;"">
                     <img src=""images/causal/causal_series_3/causal_series_3_a.png"" style=""width:300px;height:300px;"">
                   </div>","null","start","",""
"","","","","","html-button-response","6","69686","0.0-5.0-1.0","1B815F63C2E0475FA596379151F2E67E","019a565b-433b-7057-b0a1-c00e0c4daf5d","019a564d-4154-7b75-b37e-6d07e11185d1","red","5","","8066","<p style=""font-size:22px;"">The next deck offered is 
                        <span style=""color:red; font-weight:bold;"">RED</span>.</p>
                      <p>The red deck shows two unrelated facts.</p>
                      <p>If you choose to view, it will cost <b>3 cents</b>.</p>
                      <p>Would you like to view or wait?</p>","1","offer_choice","wait",""
"","","","","","html-keyboard-response","7","75689","0.0-5.0-4.0-0.0","1B815F63C2E0475FA596379151F2E67E","019a565b-433b-7057-b0a1-c00e0c4daf5d","019a564d-4154-7b75-b37e-6d07e11185d1","red","5","","null","<p style=""font-size:22px;"">Waiting...</p>","null","wait_screen","",""
"","","","","","survey-likert","8","82679","0.0-5.0-5.0","1B815F63C2E0475FA596379151F2E67E","019a565b-433b-7057-b0a1-c00e0c4daf5d","019a564d-4154-7b75-b37e-6d07e11185d1","red","5","","6983","","{""Q0"":0}","surprise_rating","","[0]"
"","","","","","survey-likert","9","86482","0.0-5.0-6.0","1B815F63C2E0475FA596379151F2E67E","019a565b-433b-7057-b0a1-c00e0c4daf5d","019a564d-4154-7b75-b37e-6d07e11185d1","red","5","","3801","","{""Q0"":1}","enjoyment_rating","","[0]"
"","","","","","html-keyboard-response","10","92494","0.0-6.0-0.0","1B815F63C2E0475FA596379151F2E67E","019a565b-433b-7057-b0a1-c00e0c4daf5d","019a564d-4154-7b75-b37e-6d07e11185d1","red","5","","null","<div style=""display:flex;justify-content:center;align-items:center;"">
                     <img src=""images/causal/causal_series_6/causal_series_6_a.png"" style=""width:300px;height:300px;"">
                   </div>","null","start","",""
"","","","","","html-button-response","11","96353","0.0-6.0-1.0","1B815F63C2E0475FA596379151F2E67E","019a565b-433b-7057-b0a1-c00e0c4daf5d","019a564d-4154-7b75-b37e-6d07e11185d1","red","5","","3858","<p style=""font-size:22px;"">The next deck offered is 
                        <span style=""color:blue; font-weight:bold;"">BLUE</span>.</p>
                      <p>The blue deck shows two related facts.</p>
                      <p>If you choose to view, it will cost <b>3 cents</b>.</p>
                      <p>Would you like to view or wait?</p>","1","offer_choice","wait",""
"","","","","","html-keyboard-response","12","102367","0.0-6.0-4.0-0.0","1B815F63C2E0475FA596379151F2E67E","019a565b-433b-7057-b0a1-c00e0c4daf5d","019a564d-4154-7b75-b37e-6d07e11185d1","red","5","","null","<p style=""font-size:22px;"">Waiting...</p>","null","wait_screen","",""
"","","","","","survey-likert","13","106817","0.0-6.0-5.0","1B815F63C2E0475FA596379151F2E67E","019a565b-433b-7057-b0a1-c00e0c4daf5d","019a564d-4154-7b75-b37e-6d07e11185d1","red","5","","4449","","{""Q0"":0}","surprise_rating","","[0]"
"","","","","","survey-likert","14","109521","0.0-6.0-6.0","1B815F63C2E0475FA596379151F2E67E","019a565b-433b-7057-b0a1-c00e0c4daf5d","019a564d-4154-7b75-b37e-6d07e11185d1","red","5","","2702","","{""Q0"":1}","enjoyment_rating","","[0]"
"","","","","","html-keyboard-response","15","115545","0.0-7.0-0.0","1B815F63C2E0475FA596379151F2E67E","019a565b-433b-7057-b0a1-c00e0c4daf5d","019a564d-4154-7b75-b37e-6d07e11185d1","red","5","","null","<div style=""display:flex;justify-content:center;align-items:center;"">
                     <img src=""images/causal/causal_series_7/causal_series_7_a.png"" style=""width:300px;height:300px;"">
                   </div>","null","start","",""
