"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","offered_color","view_cost","view_history","rt","stimulus","response","phase","decision","question_order"
"true","false","[]","[]","[]","preload","0","1042","0.0-0.0","566DE7EF91D74926BD631D55854ED087","019a5752-dedd-7229-93ba-f1a2a7e14cbe","019a5749-1dd3-7675-a1bc-ca532ed32c54","red","1","","","","","","",""
"","","","","","instructions","1","77793","0.0-1.0","566DE7EF91D74926BD631D55854ED087","019a5752-dedd-7229-93ba-f1a2a7e14cbe","019a5749-1dd3-7675-a1bc-ca532ed32c54","red","1","[{""page_index"":0,""viewing_time"":76750}]","76751","","","","",""
"","","","","","instructions","2","79528","0.0-2.0","566DE7EF91D74926BD631D55854ED087","019a5752-dedd-7229-93ba-f1a2a7e14cbe","019a5749-1dd3-7675-a1bc-ca532ed32c54","red","1","[{""page_index"":0,""viewing_time"":1735}]","1735","","","","",""
"true","","","","","fullscreen","3","81736","0.0-3.0","566DE7EF91D74926BD631D55854ED087","019a5752-dedd-7229-93ba-f1a2a7e14cbe","019a5749-1dd3-7675-a1bc-ca532ed32c54","red","1","","1191","","","","",""
"","","","","","instructions","4","85648","0.0-4.0","566DE7EF91D74926BD631D55854ED087","019a5752-dedd-7229-93ba-f1a2a7e14cbe","019a5749-1dd3-7675-a1bc-ca532ed32c54","red","1","[{""page_index"":0,""viewing_time"":3912}]","3912","","","","",""
"","","","","","html-keyboard-response","5","91652","0.0-5.0-0.0","566DE7EF91D74926BD631D55854ED087","019a5752-dedd-7229-93ba-f1a2a7e14cbe","019a5749-1dd3-7675-a1bc-ca532ed32c54","red","1","","null","<div style=""display:flex;justify-content:center;align-items:center;"">
                     <img src=""images/causal/causal_series_6/causal_series_6_a.png"" style=""width:300px;height:300px;"">
                   </div>","null","start","",""
"","","","","","html-button-response","6","98304","0.0-5.0-1.0","566DE7EF91D74926BD631D55854ED087","019a5752-dedd-7229-93ba-f1a2a7e14cbe","019a5749-1dd3-7675-a1bc-ca532ed32c54","red","1","","6652","<p style=""font-size:22px;"">The next deck offered is 
                        <span style=""color:blue; font-weight:bold;"">BLUE</span>.</p>
                      <p>The blue deck shows two related facts.</p>
                      <p>If you choose to view, it will cost <b>5 cents</b>.</p>
                      <p>Would you like to view or wait?</p>","1","offer_choice","wait",""
"","","","","","html-keyboard-response","7","104314","0.0-5.0-4.0-0.0","566DE7EF91D74926BD631D55854ED087","019a5752-dedd-7229-93ba-f1a2a7e14cbe","019a5749-1dd3-7675-a1bc-ca532ed32c54","red","1","","null","<p style=""font-size:22px;"">Waiting...</p>","null","wait_screen","",""
"","","","","","survey-likert","8","107826","0.0-5.0-5.0","566DE7EF91D74926BD631D55854ED087","019a5752-dedd-7229-93ba-f1a2a7e14cbe","019a5749-1dd3-7675-a1bc-ca532ed32c54","red","1","","3511","","{""Q0"":2}","surprise_rating","","[0]"
"","","","","","survey-likert","9","110152","0.0-5.0-6.0","566DE7EF91D74926BD631D55854ED087","019a5752-dedd-7229-93ba-f1a2a7e14cbe","019a5749-1dd3-7675-a1bc-ca532ed32c54","red","1","","2326","","{""Q0"":2}","enjoyment_rating","","[0]"
"","","","","","html-keyboard-response","10","116154","0.0-6.0-0.0","566DE7EF91D74926BD631D55854ED087","019a5752-dedd-7229-93ba-f1a2a7e14cbe","019a5749-1dd3-7675-a1bc-ca532ed32c54","red","1","","null","<div style=""display:flex;justify-content:center;align-items:center;"">
                     <img src=""images/causal/causal_series_3/causal_series_3_a.png"" style=""width:300px;height:300px;"">
                   </div>","null","start","",""
"","","","","","html-button-response","11","120585","0.0-6.0-1.0","566DE7EF91D74926BD631D55854ED087","019a5752-dedd-7229-93ba-f1a2a7e14cbe","019a5749-1dd3-7675-a1bc-ca532ed32c54","red","1","","4429","<p style=""font-size:22px;"">The next deck offered is 
                        <span style=""color:blue; font-weight:bold;"">BLUE</span>.</p>
                      <p>The blue deck shows two related facts.</p>
                      <p>If you choose to view, it will cost <b>3 cents</b>.</p>
                      <p>Would you like to view or wait?</p>","1","offer_choice","wait",""
"","","","","","html-keyboard-response","12","126586","0.0-6.0-4.0-0.0","566DE7EF91D74926BD631D55854ED087","019a5752-dedd-7229-93ba-f1a2a7e14cbe","019a5749-1dd3-7675-a1bc-ca532ed32c54","red","1","","null","<p style=""font-size:22px;"">Waiting...</p>","null","wait_screen","",""
