"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","phase","offered_color","wait_time","decision"
"true","false","[]","[]","[]","preload","0","2080","0.0-0.0","08152FAD13E74F74A87F8682F6F0C0CA","019a73ff-91cd-7c23-9d1a-32309c8188e6","019a73f3-2330-77da-838d-1b323d7854ea","","","","","","","",""
"","","","","","instructions","1","4714","0.0-1.0","08152FAD13E74F74A87F8682F6F0C0CA","019a73ff-91cd-7c23-9d1a-32309c8188e6","019a73f3-2330-77da-838d-1b323d7854ea","[{""page_index"":0,""viewing_time"":2631}]","2632","","","","","",""
"","","","","","instructions","2","19314","0.0-2.0","08152FAD13E74F74A87F8682F6F0C0CA","019a73ff-91cd-7c23-9d1a-32309c8188e6","019a73f3-2330-77da-838d-1b323d7854ea","[{""page_index"":0,""viewing_time"":14597}]","14598","","","","","",""
"true","","","","","fullscreen","3","22841","0.0-3.0","08152FAD13E74F74A87F8682F6F0C0CA","019a73ff-91cd-7c23-9d1a-32309c8188e6","019a73f3-2330-77da-838d-1b323d7854ea","","2507","","","","","",""
"","","","","","instructions","4","44389","0.0-4.0","08152FAD13E74F74A87F8682F6F0C0CA","019a73ff-91cd-7c23-9d1a-32309c8188e6","019a73f3-2330-77da-838d-1b323d7854ea","[{""page_index"":0,""viewing_time"":21548}]","21549","","","","","",""
"","","","","","instructions","5","52027","0.0-5.0","08152FAD13E74F74A87F8682F6F0C0CA","019a73ff-91cd-7c23-9d1a-32309c8188e6","019a73f3-2330-77da-838d-1b323d7854ea","[{""page_index"":0,""viewing_time"":7637}]","7637","","","","","",""
"","","","","","html-keyboard-response","6","56043","0.0-6.0-0.0-0.0","08152FAD13E74F74A87F8682F6F0C0CA","019a73ff-91cd-7c23-9d1a-32309c8188e6","019a73f3-2330-77da-838d-1b323d7854ea","","null","<div style=""display:flex;justify-content:center;align-items:center;"">
                     <img src=""images/causal/causal_series_10/causal_series_10_a.png"" style=""width:300px;height:300px;"">
                   </div>","null","start","none","4000",""
"","","","","","html-button-response","7","64419","0.0-6.0-0.0-1.0","08152FAD13E74F74A87F8682F6F0C0CA","019a73ff-91cd-7c23-9d1a-32309c8188e6","019a73f3-2330-77da-838d-1b323d7854ea","","8373","<p style=""font-size:22px;"">The next series offered is 
                        <span style=""color:red; font-weight:bold;"">RED</span>.</p>
                      <p>The red series shows an event that has a cause but no clear effect.</p>
                      <p>If you choose to view, you will need to wait <b>4 seconds</b> before seeing the next images.</p>
                      <p>Would you like to view or skip?</p>","0","offer_choice","red","4000","view"
"","","","","","html-keyboard-response","8","68423","0.0-6.0-0.0-2.0-0.0","08152FAD13E74F74A87F8682F6F0C0CA","019a73ff-91cd-7c23-9d1a-32309c8188e6","019a73f3-2330-77da-838d-1b323d7854ea","","null","<p style=""font-size:22px;"">Please wait <b>4</b> seconds...</p>","null","waiting_screen","red","4000",""
"","","","","","html-keyboard-response","9","72432","0.0-6.0-1.0-0.0","08152FAD13E74F74A87F8682F6F0C0CA","019a73ff-91cd-7c23-9d1a-32309c8188e6","019a73f3-2330-77da-838d-1b323d7854ea","","null","<div style=""display:flex;justify-content:center;align-items:center;"">
                     <img src=""images/causal/causal_series_5/causal_series_5_a.png"" style=""width:300px;height:300px;"">
                   </div>","null","start","red","4000",""
"","","","","","html-button-response","10","78484","0.0-6.0-1.0-1.0","08152FAD13E74F74A87F8682F6F0C0CA","019a73ff-91cd-7c23-9d1a-32309c8188e6","019a73f3-2330-77da-838d-1b323d7854ea","","6049","<p style=""font-size:22px;"">The next series offered is 
                        <span style=""color:red; font-weight:bold;"">RED</span>.</p>
                      <p>The red series shows an event that has a cause but no clear effect.</p>
                      <p>If you choose to view, you will need to wait <b>8 seconds</b> before seeing the next images.</p>
                      <p>Would you like to view or skip?</p>","0","offer_choice","red","8000","view"
"","","","","","html-keyboard-response","11","86486","0.0-6.0-1.0-2.0-0.0","08152FAD13E74F74A87F8682F6F0C0CA","019a73ff-91cd-7c23-9d1a-32309c8188e6","019a73f3-2330-77da-838d-1b323d7854ea","","null","<p style=""font-size:22px;"">Please wait <b>8</b> seconds...</p>","null","waiting_screen","red","8000",""
"","","","","","html-keyboard-response","12","90501","0.0-6.0-2.0-0.0","08152FAD13E74F74A87F8682F6F0C0CA","019a73ff-91cd-7c23-9d1a-32309c8188e6","019a73f3-2330-77da-838d-1b323d7854ea","","null","<div style=""display:flex;justify-content:center;align-items:center;"">
                     <img src=""images/causal/causal_series_6/causal_series_6_a.png"" style=""width:300px;height:300px;"">
                   </div>","null","start","red","8000",""
"","","","","","html-button-response","13","97209","0.0-6.0-2.0-1.0","08152FAD13E74F74A87F8682F6F0C0CA","019a73ff-91cd-7c23-9d1a-32309c8188e6","019a73f3-2330-77da-838d-1b323d7854ea","","6706","<p style=""font-size:22px;"">The next series offered is 
                        <span style=""color:red; font-weight:bold;"">RED</span>.</p>
                      <p>The red series shows an event that has a cause but no clear effect.</p>
                      <p>If you choose to view, you will need to wait <b>4 seconds</b> before seeing the next images.</p>
                      <p>Would you like to view or skip?</p>","0","offer_choice","red","4000","view"
"","","","","","html-keyboard-response","14","101214","0.0-6.0-2.0-2.0-0.0","08152FAD13E74F74A87F8682F6F0C0CA","019a73ff-91cd-7c23-9d1a-32309c8188e6","019a73f3-2330-77da-838d-1b323d7854ea","","null","<p style=""font-size:22px;"">Please wait <b>4</b> seconds...</p>","null","waiting_screen","red","4000",""
"","","","","","html-keyboard-response","15","105217","0.0-6.0-3.0-0.0","08152FAD13E74F74A87F8682F6F0C0CA","019a73ff-91cd-7c23-9d1a-32309c8188e6","019a73f3-2330-77da-838d-1b323d7854ea","","null","<div style=""display:flex;justify-content:center;align-items:center;"">
                     <img src=""images/causal/causal_series_4/causal_series_4_a.png"" style=""width:300px;height:300px;"">
                   </div>","null","start","red","4000",""
"","","","","","html-button-response","16","108980","0.0-6.0-3.0-1.0","08152FAD13E74F74A87F8682F6F0C0CA","019a73ff-91cd-7c23-9d1a-32309c8188e6","019a73f3-2330-77da-838d-1b323d7854ea","","3762","<p style=""font-size:22px;"">The next series offered is 
                        <span style=""color:blue; font-weight:bold;"">BLUE</span>.</p>
                      <p>The blue series shows an event that has a cause and an effect.</p>
                      <p>If you choose to view, you will need to wait <b>4 seconds</b> before seeing the next images.</p>
                      <p>Would you like to view or skip?</p>","0","offer_choice","blue","4000","view"
"","","","","","html-keyboard-response","17","112994","0.0-6.0-3.0-2.0-0.0","08152FAD13E74F74A87F8682F6F0C0CA","019a73ff-91cd-7c23-9d1a-32309c8188e6","019a73f3-2330-77da-838d-1b323d7854ea","","null","<p style=""font-size:22px;"">Please wait <b>4</b> seconds...</p>","null","waiting_screen","blue","4000",""
