"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","offered_color","wait_time","view_history","rt","stimulus","response","phase","decision"
"true","false","[]","[]","[]","preload","0","2307","0.0-0.0","AE5BB3054A9A46FABF7249C579A08B44","019a71b8-5fa0-752e-a863-8ac456136a67","019a719d-eb47-7867-b440-fd981f2acb8b","red","12000","","","","","",""
"","","","","","instructions","1","13370","0.0-1.0","AE5BB3054A9A46FABF7249C579A08B44","019a71b8-5fa0-752e-a863-8ac456136a67","019a719d-eb47-7867-b440-fd981f2acb8b","red","12000","[{""page_index"":0,""viewing_time"":11062}]","11063","","","",""
"","","","","","instructions","2","17726","0.0-2.0","AE5BB3054A9A46FABF7249C579A08B44","019a71b8-5fa0-752e-a863-8ac456136a67","019a719d-eb47-7867-b440-fd981f2acb8b","red","12000","[{""page_index"":0,""viewing_time"":4355}]","4355","","","",""
"true","","","","","fullscreen","3","136272","0.0-3.0","AE5BB3054A9A46FABF7249C579A08B44","019a71b8-5fa0-752e-a863-8ac456136a67","019a719d-eb47-7867-b440-fd981f2acb8b","red","12000","","117542","","","",""
"","","","","","instructions","4","142855","0.0-4.0","AE5BB3054A9A46FABF7249C579A08B44","019a71b8-5fa0-752e-a863-8ac456136a67","019a719d-eb47-7867-b440-fd981f2acb8b","red","12000","[{""page_index"":0,""viewing_time"":6581}]","6582","","","",""
"","","","","","instructions","5","212291","0.0-5.0","AE5BB3054A9A46FABF7249C579A08B44","019a71b8-5fa0-752e-a863-8ac456136a67","019a719d-eb47-7867-b440-fd981f2acb8b","red","12000","[{""page_index"":0,""viewing_time"":69435}]","69436","","","",""
"","","","","","html-keyboard-response","6","218294","0.0-6.0-0.0-0.0","AE5BB3054A9A46FABF7249C579A08B44","019a71b8-5fa0-752e-a863-8ac456136a67","019a719d-eb47-7867-b440-fd981f2acb8b","red","12000","","null","<div style=""display:flex;justify-content:center;align-items:center;"">
                     <img src=""images/causal/causal_series_6/causal_series_6_a.png"" style=""width:300px;height:300px;"">
                   </div>","null","start",""
"","","","","","html-button-response","7","229332","0.0-6.0-0.0-1.0","AE5BB3054A9A46FABF7249C579A08B44","019a71b8-5fa0-752e-a863-8ac456136a67","019a719d-eb47-7867-b440-fd981f2acb8b","red","12000","","11032","<p style=""font-size:22px;"">The next series offered is 
                        <span style=""color:blue; font-weight:bold;"">BLUE</span>.</p>
                      <p>The blue series shows a sequence of events with a cause-and-effect relationship.</p>
                      <p>If you choose to view, you will need to wait <b>6 seconds</b> before seeing the next images.</p>
                      <p>Would you like to view or skip?</p>","0","offer_choice","view"
"","","","","","html-keyboard-response","8","235336","0.0-6.0-0.0-2.0-0.0","AE5BB3054A9A46FABF7249C579A08B44","019a71b8-5fa0-752e-a863-8ac456136a67","019a719d-eb47-7867-b440-fd981f2acb8b","red","12000","","null","<p style=""font-size:22px;"">Please wait <b>6</b> seconds...</p>","null","waiting_screen",""
"","","","","","html-keyboard-response","9","241340","0.0-6.0-1.0-0.0","AE5BB3054A9A46FABF7249C579A08B44","019a71b8-5fa0-752e-a863-8ac456136a67","019a719d-eb47-7867-b440-fd981f2acb8b","red","12000","","null","<div style=""display:flex;justify-content:center;align-items:center;"">
                     <img src=""images/causal/causal_series_9/causal_series_9_a.png"" style=""width:300px;height:300px;"">
                   </div>","null","start",""
